34.0,34.0,37.0,23.0,34.0,26.0,25.0,35.0,47.0,44.0,39.0,32.0,27.0,23.0,22.0,21.0,16.0,16.0,18.0,19.0,23.0,17.0,16.0,20.0,11.0,24.0,20.0,19.0,12.0,17.0,21.0,20.0,29.0,29.0,35.0,29.0,39.0,41.0,24.0,23.0,32.0,37.0,26.0,15.0,20.0,28.0,21.0,22.0,17.0,32.0,36.0,36.0,42.0,36.0,33.0,24.0,21.0,37.0,20.0,38.0,30.0,27.0,23.0,24.0,26.0,19.0,20.0,26.0,20.0,26.0,30.0,37.0,32.0,27.0,28.0,22.0,22.0,26.0,18.0,24.0,25.0,21.0,23.0,11.0,26.0,23.0,27.0,19.0,40.0,85.0,140.0,177.0,217.0,303.0,531.0,628.0,695.0,812.0,924.0,951.0,1205.0,508.0,938.0,853.0,1010.0,952.0,593.0,220.0,120.0,73.0,25.0,21.0,25.0,15.0,32.0,38.0,49.0,139.0,266.0,229.0,271.0,348.0,254.0,115.0,377.0,414.0,508.0,499.0,608.0,559.0,697.0,753.0,699.0,267.0,145.0,97.0,47.0,68.0,34.0,24.0,22.0,18.0,17.0,18.0,25.0,56.0,220.0,145.0,92.0,99.0,78.0,51.0,55.0,32.0,42.0,53.0,48.0,43.0,46.0,45.0,55.0,34.0,31.0,24.0,46.0,55.0,57.0,53.0,32.0,38.0,37.0,26.0
49.0,27.0,20.0,34.0,21.0,30.0,21.0,29.0,19.0,31.0,15.0,16.0,17.0,27.0,27.0,21.0,18.0,16.0,17.0,18.0,24.0,14.0,5.0,16.0,14.0,17.0,23.0,16.0,19.0,27.0,21.0,13.0,19.0,20.0,19.0,25.0,17.0,27.0,19.0,18.0,17.0,18.0,20.0,20.0,20.0,19.0,19.0,11.0,13.0,11.0,26.0,19.0,13.0,14.0,17.0,14.0,16.0,18.0,14.0,16.0,51.0,112.0,133.0,163.0,250.0,247.0,210.0,278.0,574.0,543.0,712.0,562.0,538.0,765.0,537.0,1033.0,1012.0,1196.0,992.0,647.0,346.0,184.0,54.0,51.0,35.0,25.0,37.0,41.0,25.0,25.0,54.0,146.0,202.0,385.0,188.0,281.0,366.0,309.0,376.0,674.0,649.0,675.0,732.0,657.0,693.0,787.0,417.0,236.0,168.0,151.0,38.0,36.0,29.0,31.0,35.0,25.0,25.0,22.0,26.0,32.0,260.0,165.0,100.0,81.0,121.0,84.0,66.0,75.0,68.0,82.0,74.0,60.0,61.0,59.0,107.0,90.0,79.0,104.0,60.0,67.0,45.0,42.0,56.0,40.0,36.0,29.0,31.0,23.0,35.0,28.0,23.0,25.0,23.0,15.0,26.0,18.0,14.0,17.0,26.0,16.0,14.0,13.0,14.0,20.0,20.0,20.0,16.0,11.0,17.0,14.0,14.0,15.0
66.0,47.0,54.0,69.0,57.0,44.0,41.0,23.0,23.0,36.0,26.0,19.0,18.0,23.0,18.0,14.0,18.0,14.0,14.0,19.0,17.0,17.0,17.0,51.0,16.0,13.0,17.0,18.0,20.0,22.0,12.0,21.0,19.0,24.0,17.0,21.0,17.0,15.0,17.0,19.0,13.0,16.0,14.0,17.0,17.0,17.0,17.0,14.0,17.0,22.0,10.0,13.0,22.0,12.0,15.0,15.0,11.0,23.0,11.0,14.0,11.0,11.0,17.0,26.0,104.0,166.0,231.0,277.0,327.0,426.0,515.0,639.0,540.0,799.0,877.0,688.0,803.0,1045.0,1175.0,1244.0,1209.0,896.0,274.0,157.0,50.0,38.0,37.0,41.0,37.0,39.0,67.0,143.0,228.0,267.0,304.0,235.0,393.0,201.0,656.0,700.0,935.0,946.0,745.0,807.0,800.0,472.0,296.0,129.0,90.0,90.0,26.0,15.0,21.0,16.0,14.0,17.0,17.0,15.0,100.0,101.0,79.0,90.0,60.0,60.0,65.0,48.0,111.0,64.0,66.0,59.0,59.0,54.0,61.0,49.0,30.0,41.0,70.0,86.0,38.0,48.0,45.0,34.0,31.0,24.0,21.0,32.0,19.0,24.0,17.0,22.0,22.0,28.0,20.0,22.0,17.0,14.0,9.0,20.0,17.0,17.0,14.0,15.0,15.0,12.0,13.0,18.0,13.0,11.0,24.0,23.0,29.0,22.0
24.0,23.0,22.0,23.0,17.0,20.0,21.0,17.0,23.0,20.0,14.0,12.0,17.0,12.0,13.0,17.0,17.0,23.0,16.0,24.0,20.0,10.0,25.0,23.0,40.0,28.0,37.0,33.0,32.0,20.0,24.0,23.0,24.0,23.0,20.0,21.0,23.0,16.0,19.0,12.0,22.0,16.0,17.0,23.0,19.0,20.0,21.0,18.0,15.0,57.0,127.0,132.0,175.0,204.0,273.0,344.0,494.0,501.0,577.0,535.0,610.0,740.0,678.0,1004.0,1026.0,1065.0,1206.0,1022.0,946.0,607.0,190.0,108.0,47.0,43.0,52.0,24.0,38.0,65.0,143.0,264.0,203.0,268.0,236.0,259.0,225.0,261.0,671.0,748.0,758.0,950.0,576.0,776.0,633.0,659.0,581.0,184.0,151.0,114.0,57.0,22.0,27.0,15.0,29.0,15.0,17.0,20.0,23.0,49.0,65.0,77.0,135.0,132.0,124.0,109.0,120.0,102.0,124.0,99.0,84.0,115.0,124.0,76.0,66.0,83.0,66.0,80.0,79.0,77.0,41.0,61.0,73.0,52.0,36.0,43.0,31.0,30.0,47.0,35.0,25.0,27.0,20.0,12.0,21.0,14.0,12.0,13.0,17.0,15.0,20.0,20.0,18.0,18.0,16.0,17.0,14.0,18.0,20.0,15.0,15.0,17.0,19.0,29.0,25.0,21.0,21.0,22.0,21.0,15.0,20.0,22.0,13.0,18.0
13.0,15.0,16.0,13.0,18.0,22.0,20.0,21.0,20.0,31.0,27.0,19.0,14.0,15.0,19.0,29.0,15.0,17.0,16.0,14.0,16.0,19.0,22.0,17.0,21.0,16.0,21.0,15.0,22.0,25.0,29.0,26.0,18.0,31.0,18.0,29.0,16.0,16.0,25.0,18.0,12.0,12.0,16.0,19.0,19.0,19.0,22.0,30.0,28.0,20.0,21.0,28.0,24.0,14.0,20.0,20.0,21.0,22.0,64.0,142.0,192.0,252.0,343.0,455.0,644.0,717.0,816.0,833.0,853.0,1047.0,1195.0,1122.0,1172.0,1113.0,1071.0,1071.0,569.0,341.0,197.0,97.0,76.0,43.0,35.0,29.0,95.0,98.0,209.0,312.0,339.0,292.0,249.0,197.0,239.0,233.0,529.0,955.0,991.0,746.0,904.0,684.0,769.0,612.0,424.0,251.0,153.0,135.0,40.0,28.0,28.0,21.0,24.0,23.0,18.0,28.0,17.0,69.0,109.0,110.0,92.0,105.0,81.0,95.0,78.0,53.0,45.0,43.0,36.0,37.0,39.0,33.0,46.0,36.0,30.0,29.0,16.0,45.0,51.0,55.0,29.0,57.0,49.0,32.0,28.0,37.0,34.0,27.0,20.0,25.0,22.0,14.0,13.0,21.0,20.0,20.0,17.0,13.0,12.0,21.0,22.0,16.0,14.0,28.0,21.0,16.0,20.0,23.0,10.0,14.0,16.0,13.0,13.0,15.0
25.0,27.0,22.0,10.0,1341.0,12.0,16.0,12.0,16.0,25.0,28.0,33.0,21.0,25.0,26.0,24.0,15.0,15.0,15.0,11.0,16.0,23.0,25.0,18.0,21.0,29.0,22.0,25.0,37.0,26.0,30.0,20.0,18.0,16.0,19.0,22.0,17.0,16.0,22.0,27.0,17.0,24.0,21.0,18.0,28.0,21.0,21.0,22.0,22.0,30.0,26.0,20.0,25.0,19.0,80.0,157.0,243.0,260.0,362.0,449.0,525.0,697.0,557.0,743.0,619.0,605.0,911.0,1062.0,1016.0,1084.0,1111.0,466.0,235.0,216.0,82.0,45.0,38.0,34.0,34.0,28.0,25.0,71.0,94.0,154.0,154.0,297.0,151.0,207.0,198.0,398.0,708.0,877.0,816.0,690.0,525.0,536.0,637.0,324.0,199.0,134.0,75.0,18.0,22.0,19.0,27.0,16.0,17.0,23.0,16.0,18.0,14.0,62.0,73.0,113.0,92.0,84.0,73.0,77.0,67.0,65.0,64.0,58.0,48.0,48.0,76.0,78.0,55.0,43.0,56.0,86.0,88.0,56.0,60.0,47.0,43.0,46.0,39.0,26.0,23.0,19.0,12.0,20.0,16.0,12.0,11.0,13.0,13.0,12.0,16.0,14.0,9.0,15.0,17.0,12.0,16.0,13.0,14.0,15.0,14.0,13.0,11.0,11.0,15.0,9.0,11.0,19.0,8.0,11.0,13.0,17.0,17.0,23.0
15.0,13.0,15.0,12.0,14.0,11.0,13.0,18.0,17.0,14.0,17.0,21.0,17.0,19.0,22.0,19.0,18.0,17.0,18.0,11.0,17.0,16.0,19.0,14.0,15.0,13.0,9.0,12.0,13.0,14.0,11.0,19.0,11.0,16.0,8.0,13.0,12.0,12.0,17.0,11.0,13.0,8.0,11.0,10.0,18.0,18.0,18.0,20.0,21.0,14.0,20.0,11.0,12.0,15.0,41.0,107.0,165.0,180.0,202.0,244.0,850.0,401.0,536.0,480.0,465.0,760.0,896.0,926.0,934.0,1189.0,1168.0,797.0,188.0,215.0,83.0,52.0,36.0,31.0,23.0,33.0,29.0,18.0,48.0,70.0,93.0,99.0,236.0,242.0,284.0,311.0,504.0,708.0,765.0,773.0,806.0,901.0,654.0,731.0,473.0,329.0,352.0,165.0,109.0,39.0,35.0,47.0,23.0,28.0,27.0,30.0,35.0,91.0,173.0,123.0,184.0,143.0,129.0,99.0,54.0,90.0,86.0,94.0,58.0,70.0,50.0,77.0,72.0,68.0,41.0,82.0,42.0,50.0,49.0,46.0,41.0,53.0,38.0,43.0,48.0,42.0,21.0,20.0,19.0,16.0,16.0,19.0,20.0,23.0,18.0,13.0,26.0,31.0,30.0,25.0,27.0,27.0,15.0,23.0,28.0,20.0,20.0,16.0,22.0,17.0,26.0,17.0,24.0,20.0,31.0,21.0,15.0,23.0
34.0,36.0,41.0,43.0,40.0,43.0,36.0,42.0,35.0,44.0,48.0,38.0,35.0,44.0,30.0,29.0,34.0,37.0,41.0,39.0,34.0,46.0,25.0,29.0,35.0,40.0,18.0,40.0,21.0,35.0,54.0,32.0,19.0,22.0,37.0,37.0,35.0,39.0,41.0,41.0,32.0,41.0,34.0,30.0,28.0,32.0,34.0,29.0,48.0,87.0,110.0,126.0,146.0,138.0,169.0,256.0,205.0,528.0,584.0,663.0,506.0,617.0,604.0,756.0,831.0,850.0,1093.0,1270.0,1331.0,1301.0,1050.0,668.0,374.0,223.0,142.0,68.0,40.0,22.0,34.0,40.0,65.0,116.0,292.0,377.0,262.0,296.0,242.0,350.0,192.0,275.0,639.0,625.0,545.0,681.0,718.0,590.0,828.0,336.0,202.0,75.0,111.0,40.0,30.0,57.0,24.0,42.0,39.0,58.0,47.0,175.0,142.0,223.0,142.0,123.0,94.0,92.0,102.0,77.0,81.0,47.0,92.0,85.0,62.0,54.0,63.0,56.0,37.0,51.0,53.0,37.0,33.0,47.0,39.0,74.0,70.0,65.0,63.0,69.0,50.0,47.0,52.0,54.0,51.0,53.0,32.0,35.0,24.0,40.0,21.0,36.0,32.0,33.0,33.0,25.0,30.0,33.0,20.0,32.0,35.0,31.0,44.0,27.0,28.0,28.0,38.0,35.0,37.0,37.0,33.0,43.0,45.0,28.0
56.0,61.0,60.0,31.0,42.0,42.0,41.0,48.0,43.0,34.0,34.0,31.0,32.0,30.0,33.0,29.0,22.0,34.0,35.0,21.0,38.0,26.0,24.0,40.0,35.0,25.0,30.0,26.0,17.0,20.0,20.0,25.0,20.0,22.0,20.0,35.0,38.0,33.0,24.0,30.0,21.0,22.0,20.0,42.0,32.0,31.0,41.0,35.0,38.0,42.0,42.0,34.0,36.0,37.0,30.0,31.0,16.0,22.0,29.0,36.0,32.0,25.0,27.0,32.0,37.0,35.0,35.0,35.0,30.0,28.0,27.0,44.0,34.0,44.0,71.0,16.0,35.0,33.0,34.0,27.0,44.0,19.0,23.0,23.0,24.0,27.0,68.0,128.0,149.0,189.0,247.0,281.0,294.0,716.0,605.0,782.0,707.0,761.0,720.0,782.0,971.0,1049.0,1263.0,1352.0,1008.0,708.0,259.0,168.0,89.0,54.0,43.0,31.0,23.0,49.0,99.0,91.0,132.0,250.0,304.0,272.0,220.0,208.0,197.0,510.0,624.0,782.0,829.0,798.0,701.0,583.0,691.0,512.0,192.0,153.0,141.0,69.0,38.0,56.0,28.0,48.0,35.0,35.0,51.0,30.0,164.0,64.0,53.0,80.0,122.0,105.0,78.0,72.0,81.0,84.0,90.0,41.0,78.0,65.0,87.0,62.0,54.0,68.0,63.0,62.0,28.0,69.0,42.0,48.0,50.0,39.0,60.0,35.0
26.0,29.0,15.0,20.0,18.0,29.0,30.0,18.0,24.0,44.0,42.0,35.0,27.0,36.0,90.0,59.0,102.0,68.0,88.0,84.0,79.0,80.0,92.0,82.0,69.0,83.0,70.0,75.0,56.0,61.0,67.0,62.0,78.0,63.0,67.0,64.0,74.0,63.0,50.0,65.0,71.0,54.0,64.0,40.0,52.0,41.0,34.0,23.0,35.0,33.0,35.0,42.0,30.0,26.0,27.0,32.0,25.0,23.0,24.0,21.0,33.0,22.0,27.0,38.0,30.0,55.0,107.0,110.0,139.0,166.0,176.0,275.0,589.0,599.0,640.0,633.0,647.0,569.0,833.0,1105.0,1052.0,1152.0,1248.0,797.0,315.0,229.0,107.0,63.0,40.0,41.0,37.0,54.0,60.0,75.0,134.0,247.0,206.0,223.0,255.0,251.0,181.0,298.0,283.0,357.0,505.0,656.0,698.0,944.0,939.0,520.0,707.0,639.0,280.0,278.0,107.0,129.0,48.0,35.0,50.0,33.0,36.0,31.0,35.0,26.0,20.0,97.0,117.0,80.0,119.0,99.0,63.0,127.0,94.0,87.0,69.0,68.0,46.0,47.0,27.0,59.0,42.0,62.0,70.0,59.0,37.0,37.0,56.0,67.0,53.0,46.0,36.0,51.0,49.0,42.0,42.0,50.0,40.0,51.0,32.0,38.0,28.0,25.0,29.0,45.0,45.0,35.0,35.0,36.0,35.0,31.0,29.0,37.0
