250,97,99
240,193,197
230,287,292
220,381,387
210,471,477
200,555,557
190,641,643
180,723,723
170,801,799
160,875,874
150,950,953
140,1025,1032
130,1099,1107
120,1165,1173
110,1227,1238
100,1285,1300
90,1339,1357
80,1385,1406
70,1425,1448
60,1455,1481
50,1479,1505
40,1496,1519
30,1509,1520
20,1510,1520
10,1510,1520
0,1510,1520
10,1510,1520
20,1510,1520
30,1510,1520
40,1510,1520
50,1510,1520
60,1510,1520
70,1510,1520
80,1510,1520
90,1510,1520
100,1510,1520
110,1521,1527
120,1561,1570
130,1619,1630
140,1685,1699
150,1756,1775
160,1833,1855
170,1912,1938
180,1995,2024
190,2080,2114
200,2169,2207
210,2261,2299
220,2354,2392
230,2445,2483
240,2539,2575
