200,89,93
190,175,184
190,262,257
190,348,338
190,433,429
180,517,519
180,601,608
180,685,698
180,769,788
170,850,876
170,933,959
170,1010,1034
170,1088,1108
160,1164,1189
160,1241,1270
160,1317,1351
160,1393,1432
150,1470,1505
150,1546,1572
150,1619,1647
150,1692,1724
160,1767,1803
160,1843,1884
160,1924,1949
160,2003,2020
170,2081,2103
170,2161,2187
170,2241,2273
170,2321,2357
180,2405,2434
180,2487,2521
180,2571,2609
180,2657,2689
190,2743,2773
190,2827,2864
190,2920,2931
190,3006,3006
200,3091,3097
200,3179,3192
200,3265,3286
